case,backend,policy,runtime_cold_s,runtime_warm_s,peak_memory_gib,ok
circular_tokamak,vmec2000,,0.23228941694833338,,0.00868380069732666,True
circular_tokamak,vmecpp,,0.5489988329354674,,0.038301050662994385,True
circular_tokamak,vmec_jax,jit,3.265898291952908,1.5471955831162632,0.31555551290512085,True
circular_tokamak,vmec_jax,nojit,24.47948154108599,20.26055666594766,0.6196175217628479,True
nfp4_QH_warm_start,vmec2000,,0.320942125050351,,0.010026395320892334,True
nfp4_QH_warm_start,vmecpp,,0.9032610829453915,,0.04219239950180054,True
nfp4_QH_warm_start,vmec_jax,jit,2.302275541005656,1.1485969168134034,0.2692907452583313,True
nfp4_QH_warm_start,vmec_jax,nojit,32.8582484589424,27.348506583133712,0.7224161028862,True
