s,normalized_lambda
0.000000000000000000e+00,-2.496933542852927679e-01
3.333333333333333287e-02,-3.550220612778958174e-01
6.666666666666666574e-02,-5.457343934677567621e-01
1.000000000000000056e-01,-6.818563460817451682e-01
1.333333333333333315e-01,-7.596087405895891598e-01
1.666666666666666574e-01,-8.008859349377716041e-01
2.000000000000000111e-01,-8.263153964188371114e-01
2.333333333333333370e-01,-8.500221465557912248e-01
2.666666666666666630e-01,-8.757600754825874967e-01
2.999999999999999889e-01,-9.010674062544595797e-01
3.333333333333333148e-01,-9.235054450231349188e-01
3.666666666666666408e-01,-9.427740627768698145e-01
4.000000000000000222e-01,-9.597746365601341756e-01
4.333333333333333481e-01,-9.749753477858954520e-01
4.666666666666666741e-01,-9.877095033256875212e-01
5.000000000000000000e-01,-9.965868612981725327e-01
5.333333333333333259e-01,-1.000000000000000000e+00
5.666666666666666519e-01,-9.962300491496230981e-01
5.999999999999999778e-01,-9.834922265928840446e-01
6.333333333333333037e-01,-9.600154787330522632e-01
6.666666666666666297e-01,-9.240694762995482758e-01
6.999999999999999556e-01,-8.739739185479004080e-01
7.333333333333332815e-01,-8.081447760811116821e-01
7.666666666666666075e-01,-7.251597770213634719e-01
8.000000000000000444e-01,-6.243067367362384879e-01
8.333333333333333703e-01,-5.079132152663763389e-01
8.666666666666666963e-01,-3.831283091638029714e-01
9.000000000000000222e-01,-2.601188472895974990e-01
9.333333333333333481e-01,-1.496870180859364019e-01
9.666666666666666741e-01,-5.412657395826372259e-02
1.000000000000000000e+00,-9.289231929765299697e-03
