backend,nominal_beta_percent,wall_s,n_iter,fsqr,fsqz,fsql,fsq_norm,aspect,mean_iota,pressure_scale,max_pressure,wp,wb,beta_proxy,beta_proxy_percent,free_boundary_ivac,free_boundary_nestor_model,free_boundary_vacuum_stub,free_boundary_activate_fsq,free_boundary_bnormal_rms,free_boundary_bsqvac_rms,free_boundary_gsource_rms
direct,0.0,3.9686803749063984,19,1.7350972490959424,2.411211227147069,0.02933527596171986,2.970751185164475,5.8434128836092825,0.16252770183299867,0.0,0.0,0.0,245.37196384219783,0.0,0.0,3,vmec2000_like_dense_integral,False,1.0,0.0003221542079142336,3.744169384820633e-09,0.0005150944973957132
mgrid,0.0,13.813225042074919,19,1.7350972490959768,2.411211227147232,0.02933527596171776,2.970751185164627,5.843412883609554,0.16252770183298154,0.0,0.0,0.0,245.37196384221406,0.0,0.0,3,vmec2000_like_dense_integral,False,1.0,0.00032580766062651075,3.8057760122628666e-09,0.0005184948983362796
direct,0.3333333333333333,2.617719041998498,19,1.7350978575913305,2.4112119959241523,0.029335274759122777,2.970752164528666,5.843412817849017,0.16252770623888924,11.487445555459999,1.4435549826218344e-05,0.00011286012994908527,245.37195715334997,4.599552909730069e-07,4.599552909730069e-05,3,vmec2000_like_dense_integral,False,1.0,0.00032215421029976724,3.744169104015181e-09,0.0005150944939970417
mgrid,0.3333333333333333,1.9750620420090854,19,1.7350978575913834,2.4112119959243032,0.029335274759120004,2.970752164528819,5.843412817849288,0.16252770623887197,11.487445555459999,1.4435549826218344e-05,0.00011286012994907848,245.37195715336617,4.5995529097294885e-07,4.599552909729488e-05,3,vmec2000_like_dense_integral,False,1.0,0.00032580766307999326,3.805775729629111e-09,0.0005184948949276414
direct,0.6666666666666666,2.6228944159811363,19,1.7350984660868756,2.4112127647014163,0.029335273556525328,2.970753143893096,5.843412752088806,0.16252771064477567,22.974891110919998,2.8871099652436688e-05,0.0002257202681697456,245.37195046450668,9.19910640733144e-07,9.19910640733144e-05,3,vmec2000_like_dense_integral,False,1.0,0.00032215421268529977,3.744168823216644e-09,0.0005150944905983705
mgrid,0.6666666666666666,1.9573093749349937,19,1.735098466086935,2.411212764701556,0.029335273556523024,2.970753143893244,5.843412752089079,0.16252771064475788,22.974891110919998,2.8871099652436688e-05,0.000225720268169732,245.37195046452294,9.199106407330275e-07,9.199106407330276e-05,3,vmec2000_like_dense_integral,False,1.0,0.00032580766553347377,3.805775446994814e-09,0.0005184948915190054
direct,1.0,2.610719791962765,19,1.735099074582635,2.411213533478823,0.029335272353928684,2.9707541232577674,5.8434126863286115,0.16252771505065722,34.46233666638,4.330664947865502e-05,0.00033858041468724196,245.37194377566766,1.3798660493833416e-06,0.00013798660493833417,3,vmec2000_like_dense_integral,False,1.0,0.0003221542150708307,3.744168542412713e-09,0.0005150944871997062
mgrid,1.0,1.957706999965012,19,1.7350990745826667,2.4112135334789597,0.029335272353925815,2.970754123257897,5.8434126863288816,0.1625277150506405,34.46233666638,4.330664947865502e-05,0.0003385804146872217,245.37194377568383,1.3798660493831682e-06,0.00013798660493831682,3,vmec2000_like_dense_integral,False,1.0,0.00032580766798695287,3.805775164368761e-09,0.0005184948881103703
