backend,policy,qi_qp_preseed,qi_qi_preseed,max_mode,use_ess,success,crashed,objective_final,qi_raw_total,qi_legacy_total,qi_legacy_source,qi_mirror_ratio_max,qi_mirror_ratio_target,qi_mirror_excess_max,qi_max_elongation,qi_elongation_target,qi_elongation_excess,qi_lgradb_min,qi_lgradb_threshold,qi_lgradb_excess_max,aspect_final,iota_final,nfev,njev,total_wall_time_s,jax_backend,jax_device_kind,input_file,input_nfp,project_input_boundary_to_max_mode,target_aspect,target_iota,iota_abs_min,iota_weight,qi_lgradb_weight,message,output_dir
cpu,continuation,False,True,3,False,True,False,0.019463015103463658,0.016348247900473796,0.016348247900473796,legacy,0.2258848956889262,0.21,0.015884895688926204,2.823456402093508,8.0,0.0,0.03214250332190545,0.3,27.77812024528354,5.019222295135781,-0.4125595649776103,116,58,601.6475754990242,cpu,cpu,/Users/rogeriojorge/local/vmec_jax/examples/data/input.nfp2_QI,2,True,5.0,,0.41,200.0,0.0,`xtol` termination condition is satisfied.,/Users/rogeriojorge/local/vmec_jax/examples/optimization/results/qs_ess_sweep/cpu/continuation/qi/no_qp_preseed/mode3/no_ess
cpu,continuation,False,True,3,True,True,False,0.002172548670637645,0.002168039382721506,0.002168039382721506,legacy,0.21062203453310852,0.21,0.0006220345331085231,4.30260859005003,8.0,0.0,0.07463113230169172,0.3,10.065900594373431,5.000800011445184,-0.5494206378592212,126,74,680.9204963330412,cpu,cpu,/Users/rogeriojorge/local/vmec_jax/examples/data/input.nfp2_QI,2,True,5.0,,0.41,200.0,0.0,`xtol` termination condition is satisfied.,/Users/rogeriojorge/local/vmec_jax/examples/optimization/results/qs_ess_sweep/cpu/continuation/qi/no_qp_preseed/mode3/ess
cpu,direct,True,True,1,False,True,False,0.06013829690280186,0.05947946851196767,0.05947946851196767,legacy,0.21783420941319614,0.21,0.007834209413196153,7.999702306588528,8.0,0.0,0.13547632418026712,0.3,4.048030207866551,4.993285834412667,-0.4252706698522275,61,42,128.95432150096167,cpu,cpu,/Users/rogeriojorge/local/vmec_jax/examples/data/input.nfp2_QI,2,True,5.0,,0.41,200.0,0.0,`xtol` termination condition is satisfied.,/Users/rogeriojorge/local/vmec_jax/examples/optimization/results/qs_ess_sweep/cpu/direct/qi/qp_preseed/mode1/no_ess
cpu,direct,True,True,1,True,True,False,0.06013829690280186,0.05947946851196767,0.05947946851196767,legacy,0.21783420941319614,0.21,0.007834209413196153,7.999702306588528,8.0,0.0,0.13547632418026712,0.3,4.048030207866551,4.993285834412667,-0.4252706698522275,61,42,130.54493254201952,cpu,cpu,/Users/rogeriojorge/local/vmec_jax/examples/data/input.nfp2_QI,2,True,5.0,,0.41,200.0,0.0,`xtol` termination condition is satisfied.,/Users/rogeriojorge/local/vmec_jax/examples/optimization/results/qs_ess_sweep/cpu/direct/qi/qp_preseed/mode1/ess
cpu,direct,True,False,2,False,True,False,0.332550889954147,0.3319169524831251,0.3319169524831251,legacy,0.16877934869025246,0.21,0.0,4.969029143866057,8.0,0.0,0.07591922354878,0.3,9.83856112574889,5.025178112489933,-0.4198021281479054,42,28,167.600735166925,cpu,cpu,/Users/rogeriojorge/local/vmec_jax/examples/data/input.nfp2_QI,2,True,5.0,,0.41,200.0,0.0,`xtol` termination condition is satisfied.,/Users/rogeriojorge/local/vmec_jax/examples/optimization/results/qs_ess_sweep/cpu/direct/qi/qp_preseed/mode2/no_ess
cpu,direct,True,True,2,True,True,False,0.10863274187949991,0.1086310180073084,0.1086310180073084,legacy,0.0901491803384918,0.21,0.0,6.105772568866315,8.0,0.0,0.065932679404348,0.3,11.833652280390321,5.001312963134774,-0.491107030870012,49,34,220.74740458407905,cpu,cpu,/Users/rogeriojorge/local/vmec_jax/examples/data/input.nfp2_QI,2,True,5.0,,0.41,200.0,0.0,`xtol` termination condition is satisfied.,/Users/rogeriojorge/local/vmec_jax/examples/optimization/results/qs_ess_sweep/cpu/direct/qi/qp_preseed/mode2/ess
cpu,direct,True,False,3,False,True,False,0.05192490705798407,0.04727920081376601,0.04727920081376601,legacy,0.2302022473773893,0.21,0.02020224737738932,3.014499134303372,8.0,0.0,0.039777871733150276,0.3,21.80627209122273,5.023581303063413,-0.41423174231422005,30,19,134.8043859170284,cpu,cpu,/Users/rogeriojorge/local/vmec_jax/examples/data/input.nfp2_QI,2,True,5.0,,0.41,200.0,0.0,`xtol` termination condition is satisfied.,/Users/rogeriojorge/local/vmec_jax/examples/optimization/results/qs_ess_sweep/cpu/direct/qi/qp_preseed/mode3/no_ess
cpu,direct,True,True,3,True,True,False,57.387510934468224,0.16678804941063036,0.16678804941063036,legacy,0.3325823759884761,0.21,0.12258237598847613,6.269260413859732,8.0,0.0,0.021222652658793684,0.3,43.78612982131837,4.920928852757678,-0.372229572993643,34,24,225.37985754094552,cpu,cpu,/Users/rogeriojorge/local/vmec_jax/examples/data/input.nfp2_QI,2,True,5.0,,0.41,200.0,0.0,`xtol` termination condition is satisfied.,/Users/rogeriojorge/local/vmec_jax/examples/optimization/results/qs_ess_sweep/cpu/direct/qi/qp_preseed/mode3/ess
cpu,direct,False,True,1,False,True,False,1125.6949089766654,0.0012902553810744289,0.0012902553810744289,legacy,0.897205832603577,0.21,0.687205832603577,11.841461074710061,8.0,3.841461074710061,0.052361491378858496,0.3,15.764671205241756,6.0415194187973125,-0.25408992130295277,15,7,34.30090837494936,cpu,cpu,/Users/rogeriojorge/local/vmec_jax/examples/data/input.nfp2_QI,2,True,5.0,,0.41,200.0,0.0,`xtol` termination condition is satisfied.,/Users/rogeriojorge/local/vmec_jax/examples/optimization/results/qs_ess_sweep/cpu/direct/qi/no_qp_preseed/mode1/no_ess
cpu,direct,False,True,1,True,True,False,1125.6949089766654,0.0012902553810744289,0.0012902553810744289,legacy,0.897205832603577,0.21,0.687205832603577,11.841461074710061,8.0,3.841461074710061,0.052361491378858496,0.3,15.764671205241756,6.0415194187973125,-0.25408992130295277,15,7,34.259313874994405,cpu,cpu,/Users/rogeriojorge/local/vmec_jax/examples/data/input.nfp2_QI,2,True,5.0,,0.41,200.0,0.0,`xtol` termination condition is satisfied.,/Users/rogeriojorge/local/vmec_jax/examples/optimization/results/qs_ess_sweep/cpu/direct/qi/no_qp_preseed/mode1/ess
cpu,direct,False,True,2,False,False,False,0.017544886076596412,0.017204903555024763,0.017204903555024763,legacy,0.21567097801730828,0.21,0.005670978017308287,3.054196053131791,8.0,0.0,0.08643526599670454,0.3,8.23601846386165,5.004281098910326,-0.41674979234870474,42,28,165.64349537505768,cpu,cpu,/Users/rogeriojorge/local/vmec_jax/examples/data/input.nfp2_QI,2,True,5.0,,0.41,200.0,0.0,The maximum number of function evaluations is exceeded.,/Users/rogeriojorge/local/vmec_jax/examples/optimization/results/qs_ess_sweep/cpu/direct/qi/no_qp_preseed/mode2/no_ess
cpu,direct,False,True,2,True,False,False,0.02389173505165595,0.023336317561286166,0.023336317561286166,legacy,0.21581369133523898,0.21,0.005813691335238985,3.410014692193942,8.0,0.0,0.09805677533058244,0.3,6.864840088428323,5.013167704956435,-0.41338914359821405,44,28,167.06919891689904,cpu,cpu,/Users/rogeriojorge/local/vmec_jax/examples/data/input.nfp2_QI,2,True,5.0,,0.41,200.0,0.0,The maximum number of function evaluations is exceeded.,/Users/rogeriojorge/local/vmec_jax/examples/optimization/results/qs_ess_sweep/cpu/direct/qi/no_qp_preseed/mode2/ess
cpu,direct,False,True,3,False,False,False,0.05855079851050986,0.052745839831461645,0.052745839831461645,legacy,0.23162702024521153,0.21,0.021627020245211542,2.1602285266254593,8.0,0.0,0.15483956368534396,0.3,3.1249643794666224,5.032953384119107,-0.4134162327758215,43,33,294.2160916251596,cpu,cpu,/Users/rogeriojorge/local/vmec_jax/examples/data/input.nfp2_QI,2,True,5.0,,0.41,200.0,0.0,The maximum number of function evaluations is exceeded.,/Users/rogeriojorge/local/vmec_jax/examples/optimization/results/qs_ess_sweep/cpu/direct/qi/no_qp_preseed/mode3/no_ess
cpu,direct,False,True,3,True,False,False,0.003227973430356644,0.003204905581715876,0.003204905581715876,legacy,0.2113616718460887,0.21,0.0013616718460887078,3.980404330920936,8.0,0.0,0.0745059527631156,0.3,10.088413022684719,5.0020980814900335,-0.4163395598634212,46,34,303.5442478338955,cpu,cpu,/Users/rogeriojorge/local/vmec_jax/examples/data/input.nfp2_QI,2,True,5.0,,0.41,200.0,0.0,The maximum number of function evaluations is exceeded.,/Users/rogeriojorge/local/vmec_jax/examples/optimization/results/qs_ess_sweep/cpu/direct/qi/no_qp_preseed/mode3/ess
