policy,backend,problem,max_mode,use_ess,success,crashed,objective_final,qs_final,aspect_final,iota_final,nfev,njev,total_wall_time_s,jax_backend,jax_device_kind,solver_device,jax_platforms,message,output_dir
continuation,cpu,qp,2,False,False,False,0.2966771357249116,0.2907239099544001,7.076994896788199,-0.30974994181134163,28,16,53.059074541029986,cpu,cpu,cpu,cpu,The maximum number of function evaluations is exceeded.,examples/optimization/results/qs_ess_sweep/cpu/continuation/qp/mode2/no_ess
continuation,cpu,qp,2,True,False,False,0.4431437843112491,0.43557670236965806,7.086988975977368,-0.3102426753900196,28,15,47.12129604097572,cpu,cpu,cpu,cpu,The maximum number of function evaluations is exceeded.,examples/optimization/results/qs_ess_sweep/cpu/continuation/qp/mode2/ess
continuation,cpu,qp,3,False,True,False,0.3199153436335329,0.2902693437959195,7.0767448921167695,-0.3022934733226312,26,13,60.110730709013296,cpu,cpu,cpu,cpu,`xtol` termination condition is satisfied.,examples/optimization/results/qs_ess_sweep/cpu/continuation/qp/mode3/no_ess
continuation,cpu,qp,3,True,False,False,0.2739597667374408,0.2700008399457783,7.062920003112385,-0.31046643886835623,36,22,85.40232770799776,cpu,cpu,cpu,cpu,The maximum number of function evaluations is exceeded.,examples/optimization/results/qs_ess_sweep/cpu/continuation/qp/mode3/ess
direct,cpu,qa,1,False,True,False,0.00929336790498846,0.009031908485100618,6.002429735986163,0.39401388718526653,20,17,152.6421191249974,cpu,cpu,cpu,,`ftol` termination condition is satisfied.,examples/optimization/results/qs_ess_sweep/cpu/direct/qa/mode1/no_ess
direct,cpu,qa,1,True,True,False,0.00929336790498846,0.009031908485100618,6.002429735986163,0.39401388718526653,20,17,162.85415879101492,cpu,cpu,cpu,,`ftol` termination condition is satisfied.,examples/optimization/results/qs_ess_sweep/cpu/direct/qa/mode1/ess
direct,cpu,qa,2,False,True,False,0.00045028774723169097,0.00043802601981015796,5.999367798265303,0.4065558675420101,18,10,1113.8041540420018,,,,,`xtol` termination condition is satisfied.,examples/optimization/results/qs_ess_sweep/cpu/direct/qa/mode2/no_ess
direct,cpu,qa,2,True,False,False,0.00015818701094988445,0.0001579462027203897,6.000028287263838,0.40951009382510595,40,24,893.0882692089945,,,,,The maximum number of function evaluations is exceeded.,examples/optimization/results/qs_ess_sweep/cpu/direct/qa/mode2/ess
direct,cpu,qa,3,False,True,False,0.01764803824405835,0.009989997886223555,6.007128214915354,0.3227805703414925,24,14,83.73169920800137,cpu,cpu,cpu,cpu,`xtol` termination condition is satisfied.,examples/optimization/results/qs_ess_sweep/cpu/direct/qa/mode3/no_ess
direct,cpu,qa,3,True,False,False,0.00014631374792441077,0.00014586448574945864,5.999999956040472,0.4093297297761203,24,20,96.51813308300916,cpu,cpu,cpu,cpu,The maximum number of function evaluations is exceeded.,examples/optimization/results/qs_ess_sweep/cpu/direct/qa/mode3/ess
direct,cpu,qh,1,False,True,False,0.21604681866498354,0.21365087551636203,7.048948372277549,,9,7,132.79790537499503,,,,,`ftol` termination condition is satisfied.,examples/optimization/results/qs_ess_sweep/cpu/direct/qh/mode1/no_ess
direct,cpu,qh,1,True,True,False,0.21604681866498354,0.21365087551636203,7.048948372277549,,9,7,139.16495791600028,,,,,`ftol` termination condition is satisfied.,examples/optimization/results/qs_ess_sweep/cpu/direct/qh/mode1/ess
direct,cpu,qh,2,False,True,False,0.003451685990844346,0.003451369420815948,7.000562645561964,,28,23,609.7824352080061,,,,,`xtol` termination condition is satisfied.,examples/optimization/results/qs_ess_sweep/cpu/direct/qh/mode2/no_ess
direct,cpu,qh,2,True,True,False,0.00400313091156953,0.004002503340425583,7.000792193880276,,20,16,337.4502421250072,,,,,`xtol` termination condition is satisfied.,examples/optimization/results/qs_ess_sweep/cpu/direct/qh/mode2/ess
direct,cpu,qh,3,False,True,False,0.004291210353140536,0.00428946878586074,6.998680315462015,,15,13,571.1393641249888,,,,,`xtol` termination condition is satisfied.,examples/optimization/results/qs_ess_sweep/cpu/direct/qh/mode3/no_ess
direct,cpu,qh,3,True,True,False,0.0032729812027859407,0.003272546358154248,6.999340572497015,,20,15,551.6941217080021,,,,,`xtol` termination condition is satisfied.,examples/optimization/results/qs_ess_sweep/cpu/direct/qh/mode3/ess
direct,cpu,qi,1,False,True,False,0.011942447024273333,0.011940755595050999,7.001300549584728,,28,17,44.471405791991856,cpu,cpu,cpu,,`xtol` termination condition is satisfied.,examples/optimization/results/qs_ess_sweep/cpu/direct/qi/mode1/no_ess
direct,cpu,qi,1,True,True,False,0.011942447024273333,0.011940755595050999,7.001300549584728,,28,17,44.002240666071884,cpu,cpu,cpu,,`xtol` termination condition is satisfied.,examples/optimization/results/qs_ess_sweep/cpu/direct/qi/mode1/ess
direct,cpu,qi,2,False,False,False,0.0039320867173378415,0.0039320054975266255,7.000284990896724,,31,21,78.67590483400272,cpu,cpu,cpu,,The maximum number of function evaluations is exceeded.,examples/optimization/results/qs_ess_sweep/cpu/direct/qi/mode2/no_ess
direct,cpu,qi,2,True,True,False,0.005389579451680804,0.0053702152774250216,7.004400474321682,,32,19,63.689630084030796,cpu,cpu,cpu,,`xtol` termination condition is satisfied.,examples/optimization/results/qs_ess_sweep/cpu/direct/qi/mode2/ess
direct,cpu,qi,3,False,False,False,0.014632128589316742,0.01429551858208033,7.018346934546033,,29,17,86.36589812504826,cpu,cpu,cpu,,The maximum number of function evaluations is exceeded.,examples/optimization/results/qs_ess_sweep/cpu/direct/qi/mode3/no_ess
direct,cpu,qi,3,True,True,False,0.00421122140006365,0.004202861074997037,7.002891422671733,,28,15,67.2170024170191,cpu,cpu,cpu,,`xtol` termination condition is satisfied.,examples/optimization/results/qs_ess_sweep/cpu/direct/qi/mode3/ess
direct,cpu,qp,1,False,False,False,0.5998579909915305,0.5906504609818797,7.089356357323018,-0.30825144958922257,20,12,28.092067625024356,cpu,cpu,cpu,cpu,The maximum number of function evaluations is exceeded.,examples/optimization/results/qs_ess_sweep/cpu/direct/qp/mode1/no_ess
direct,cpu,qp,1,True,False,False,0.5998579909915305,0.5906504609818797,7.089356357323018,-0.30825144958922257,20,12,31.74211458300124,cpu,cpu,cpu,cpu,The maximum number of function evaluations is exceeded.,examples/optimization/results/qs_ess_sweep/cpu/direct/qp/mode1/ess
direct,cpu,qp,2,False,True,False,0.046001357577510116,0.04596883927560663,7.005702482082698,-0.5827820905687394,19,12,40.36224637500709,cpu,cpu,cpu,cpu,`xtol` termination condition is satisfied.,examples/optimization/results/qs_ess_sweep/cpu/direct/qp/mode2/no_ess
direct,cpu,qp,2,True,False,False,0.05669585767079482,0.05648389759019912,7.012950735983104,-0.30966743978706246,20,12,40.39420883299317,cpu,cpu,cpu,cpu,The maximum number of function evaluations is exceeded.,examples/optimization/results/qs_ess_sweep/cpu/direct/qp/mode2/ess
direct,cpu,qp,3,False,True,False,0.5348192195127695,0.5307253145399463,7.063983630506741,-1.1400721437635142,17,9,41.509303833008744,cpu,cpu,cpu,cpu,`xtol` termination condition is satisfied.,examples/optimization/results/qs_ess_sweep/cpu/direct/qp/mode3/no_ess
direct,cpu,qp,3,True,True,False,0.09604990494079255,0.09249804716506158,7.057479715117012,-0.30921269426872694,20,11,48.13903287498397,cpu,cpu,cpu,cpu,`xtol` termination condition is satisfied.,examples/optimization/results/qs_ess_sweep/cpu/direct/qp/mode3/ess
