  -1.8573713394759198E-07,   5.1827584046068740E+00,   1.0309949665102709E+00
  -5.7813644350922710E-01,   5.2361405694240188E+00,   9.3361166938141249E-01
  -1.0211971733237502E+00,   5.3790022833294922E+00,   7.9708262629875959E-01
  -1.3267925721505276E+00,   5.5637493152077875E+00,   7.5483036177055385E-01
  -1.5635171908014218E+00,   5.8549178306929646E+00,   8.6942803254997392E-01
  -1.2812724571359735E+00,   6.2075223272414286E+00,   1.3202348694182089E+00
   8.3286278144939339E-08,   6.4035597497455301E+00,   1.7457870226984471E+00
   1.2812726447073077E+00,   6.2075223662500365E+00,   1.3202350325433478E+00
   1.5635172990983546E+00,   5.8549175982165771E+00,   8.6942862558949496E-01
   1.3267910441015449E+00,   5.5637498128631071E+00,   7.5482857967299311E-01
   1.0211963532119108E+00,   5.3790023457072165E+00,   7.9708311104931340E-01
   5.7813609231760510E-01,   5.2361407791439349E+00,   9.3361070980449934E-01
  -9.5895273462210928E-01,   5.1957433409002904E+00,   3.0082223596542368E-01
  -9.6467846824994652E-01,   5.3044381212288512E+00,  -2.0655374929571002E-01
  -1.0068092506100574E+00,   5.5055058061361981E+00,  -7.3046729795897258E-01
  -1.2319581406045619E+00,   5.7205695891980959E+00,  -1.1742849038405416E+00
  -1.6745704994640649E+00,   5.8848704504431595E+00,  -1.4588080601953375E+00
  -2.2328484774381141E+00,   6.0050744010113632E+00,  -1.2399041251518430E+00
  -2.3964298136971625E+00,   6.0915986382533269E+00,  -5.0744442446042981E-01
  -2.1093170938810162E+00,   6.0592615593658712E+00,   2.1738397522197395E-01
  -1.6513656574496034E+00,   5.9214288947827090E+00,   7.5761181961217794E-01
  -1.1967163871795987E+00,   5.6468001111829489E+00,   9.4231771763821226E-01
  -9.6832388649273382E-01,   5.3621049072450857E+00,   8.4943005296123864E-01
  -9.3276801509147733E-01,   5.2170558548058183E+00,   6.4663483486806927E-01
   1.0595946421882857E-07,   5.2781649937548547E+00,  -2.4113800426901291E-01
   4.7170007330037200E-01,   5.3881159217519503E+00,  -3.6770217444225911E-01
   8.1395410967276172E-01,   5.6557533262883615E+00,  -7.2651258835449517E-01
   9.2830565481062421E-01,   5.8911599286837673E+00,  -1.1952394348040287E+00
   8.1145721294366169E-01,   6.0289407575581180E+00,  -1.6486506051255525E+00
   4.9458987198472354E-01,   6.1076265786556441E+00,  -2.0198392555281184E+00
  -2.0760678331368500E-06,   6.1353614738085520E+00,  -2.1765560552635921E+00
  -4.9457084711787624E-01,   6.1076365024226851E+00,  -2.0198176133410883E+00
  -8.1146002422186436E-01,   6.0289391036186757E+00,  -1.6486550242687124E+00
  -9.2830566608504528E-01,   5.8911598940269503E+00,  -1.1952394141220037E+00
  -8.1395404378096992E-01,   5.6557531926251992E+00,  -7.2651286520124969E-01
  -4.7170010541356588E-01,   5.3881160376845401E+00,  -3.6770179113680751E-01
   9.5895273144639726E-01,   5.1957434297987461E+00,   3.0082212461392055E-01
   9.3276808203308070E-01,   5.2170557617481421E+00,   6.4663556486435592E-01
   9.6832555922380104E-01,   5.3621045173990494E+00,   8.4942886230352166E-01
   1.1967163678878878E+00,   5.6468003244477529E+00,   9.4231783500941058E-01
   1.6513659550027164E+00,   5.9214288537127659E+00,   7.5761178138231666E-01
   2.1093167480245114E+00,   6.0592616944835118E+00,   2.1738277842293721E-01
   2.3964297984131204E+00,   6.0915986008164769E+00,  -5.0744438536523395E-01
   2.2328484264754183E+00,   6.0050744038168560E+00,  -1.2399041011473677E+00
   1.6745714301091352E+00,   5.8848703011414925E+00,  -1.4588061505040251E+00
   1.2319584333096953E+00,   5.7205694808457945E+00,  -1.1742851677318147E+00
   1.0068087939712405E+00,   5.5055057554950730E+00,  -7.3046733737033365E-01
